Year,Date,Game_conf,Game_home,Opp,Opp_CRTD,Opp_DefStren,Opp_OffStrat,Opp_SRTD,Opp_rank,Season,Team,Team_CRTD,Team_DefStren,Team_OffStrat,Team_SRTD,Team_rank,Won
2014,2014-09-20 15:30:00,0.0,1,Rutgers,0.0,3.067,0.714,0.667,0.0,2014,Navy,0.0,1.242,0.104,0.667,0.0,0
2014,2014-09-20 12:00:00,0.0,0,Georgia,0.0,1.795,0.608,0.5,0.48,2014,Troy,0.0,1.043,0.945,0.0,0.0,0
2014,2014-09-20 22:00:00,0.0,0,Fresno State,0.0,1.195,1.337,0.0,0.0,2014,Southern Utah,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-20 20:25:00,1.0,0,Florida State,0.0,0.669,1.091,1.0,0.96,2014,Clemson,0.0,0.501,0.798,0.5,0.12,0
2014,2014-09-20 15:30:00,0.0,0,East Carolina,0.0,1.988,1.878,0.667,0.0,2014,North Carolina,0.0,1.631,0.938,1.0,0.0,0
2014,2014-09-20 12:30:00,0.0,0,Duke,0.0,1.05,0.975,1.0,0.0,2014,Tulane,0.0,1.198,1.147,0.333,0.0,0
2014,2014-09-20 14:00:00,0.0,0,Colorado,0.0,1.019,1.144,0.333,0.0,2014,Hawaii,0.0,1.85,0.949,0.333,0.0,0
2014,2014-09-20 19:00:00,0.0,0,Cincinnati,0.0,1.346,1.4,1.0,0.0,2014,Miami (OH),0.0,1.216,1.296,0.0,0.0,0
2014,2014-09-20 18:00:00,1.0,0,Central Florida,0.0,0.0,0.0,0.0,0.0,2014,Bethune-Cookman,0.0,0.0,0.0,1.0,0.0,0
2014,2014-09-20 15:30:00,0.0,0,Buffalo,0.0,1.596,1.0,0.333,0.0,2014,Norfolk State,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-20 15:30:00,0.0,0,Brigham Young,0.0,4.755,0.616,1.0,0.16000000000000006,2014,Virginia,1.0,3.181,0.824,0.667,0.0,0
2014,2014-09-20 13:00:00,0.0,0,Boston College,0.0,1.525,0.45,0.667,0.0,2014,Maine,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-20 22:40:00,0.0,0,Boise State,1.0,0.0,0.917,0.667,0.0,2014,Louisiana,0.0,1.582,0.991,0.333,0.0,0
2014,2014-09-20 19:00:00,0.0,0,Arkansas State,0.0,1.828,0.783,0.333,0.0,2014,Utah State,0.0,4.5,1.048,0.667,0.0,0
2014,2014-09-20 19:00:00,0.0,0,Arkansas,0.0,1.723,0.416,0.667,0.0,2014,Northern Illinois,0.0,3.198,0.413,1.0,0.0,0
2014,2014-09-20 22:00:00,1.0,0,Arizona,0.0,2.302,0.8,1.0,0.0,2014,California,0.0,1.903,0.739,1.0,0.0,0
2014,2014-09-20 15:30:00,1.0,0,Alabama,0.0,4.681,0.731,1.0,0.88,2014,Florida,1.0,2.571,1.022,1.0,0.0,0
2014,2014-09-19 20:00:00,1.0,0,South Florida,0.0,1.661,0.866,0.333,0.0,2014,Connecticut,0.0,2.061,1.087,0.333,0.0,0
2014,2014-09-18 19:30:00,0.0,1,Auburn,1.0,1.968,0.459,1.0,0.8,2014,Kansas State,1.0,2.523,0.641,1.0,0.2,0
2014,2014-09-13 17:00:00,0.0,1,Western Michigan,0.0,0.801,1.281,0.0,0.0,2014,Idaho,0.0,2.56,1.306,0.0,0.0,0
2014,2014-09-13 12:00:00,0.0,1,West Virginia,0.0,1.0,1.171,0.5,0.0,2014,Maryland,0.0,1.291,0.7,1.0,0.0,0
2014,2014-09-13 20:00:00,0.0,0,Washington State,0.0,0.911,3.531,0.0,0.0,2014,Portland State,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-13 16:00:00,0.0,0,Washington,0.0,2.165,0.476,1.0,0.0,2014,Illinois,0.0,1.549,1.544,1.0,0.0,0
2014,2014-09-13 12:30:00,1.0,0,Virginia,0.0,3.457,0.861,0.5,0.0,2014,Louisville,1.0,3.829,0.728,1.0,0.16000000000000006,0
2014,2014-09-20 19:30:00,1.0,1,Georgia Southern,0.0,0.919,0.459,0.333,0.0,2014,South Alabama,0.0,1.247,1.039,0.5,0.0,0
2014,2014-09-20 19:30:00,1.0,1,South Carolina,0.5,1.975,1.059,0.667,0.44,2014,Vanderbilt,0.0,2.019,0.872,0.333,0.0,0
2014,2014-09-20 12:00:00,1.0,1,Georgia Tech,0.0,0.817,0.314,1.0,0.0,2014,Virginia Tech,0.0,2.946,1.06,0.667,0.0,0
2014,2014-09-20 16:00:00,0.0,0,Illinois,0.0,1.258,1.422,0.667,0.0,2014,Texas State,0.0,0.428,0.702,0.5,0.0,0
2014,2014-09-20 12:00:00,0.0,0,Purdue,0.0,1.314,1.283,0.333,0.0,2014,Southern Illinois,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-20 16:00:00,0.0,0,Penn State,1.0,3.19,1.391,1.0,0.0,2014,Massachusetts,0.0,0.98,1.044,0.0,0.0,0
2014,2014-09-20 22:30:00,0.0,0,Oregon State,0.0,1.375,1.123,1.0,0.0,2014,San Diego State,0.0,1.769,0.944,0.5,0.0,0
2014,2014-09-20 22:36:00,1.0,1,Oregon,0.0,1.833,0.791,1.0,0.92,2014,Washington State,0.0,1.264,3.218,0.333,0.0,0
2014,2014-09-20 12:00:00,1.0,1,Old Dominion,0.0,0.844,1.081,0.667,0.0,2014,Rice,0.0,1.345,0.653,0.0,0.0,0
2014,2014-09-20 19:30:00,1.0,1,Oklahoma,0.0,2.408,1.0,1.0,0.84,2014,West Virginia,0.0,1.245,1.022,0.667,0.0,0
2014,2014-09-20 19:00:00,0.0,0,Ohio,1.0,1.696,0.904,0.333,0.0,2014,Idaho,0.0,1.59,1.313,0.0,0.0,0
2014,2014-09-20 19:00:00,0.0,1,Northwestern State,0.0,0.0,0.0,0.0,0.0,2014,Louisiana Tech,1.0,1.43,1.117,0.667,0.0,0
2014,2014-09-20 12:00:00,0.0,0,Northwestern,0.0,1.433,1.192,0.0,0.0,2014,Western Illinois,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-20 15:30:00,0.0,0,North Texas,0.0,2.662,0.507,0.333,0.0,2014,Nicholls State,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-20 18:00:00,0.0,0,North Carolina State,0.0,1.15,0.803,1.0,0.0,2014,Presbyterian,0.0,0.0,0.0,0.0,0.0,0
2014,2014-09-20 20:00:00,0.0,1,New Mexico,0.0,0.417,0.183,0.0,0.0,2014,New Mexico State,0.0,0.557,1.028,0.667,0.0,0
2014,2014-09-20 20:00:00,0.0,0,Nebraska,0.0,1.278,0.682,1.0,0.040000000000000036,2014,Miami (FL),0.0,2.141,0.895,0.667,0.0,0
2014,2014-09-20 19:00:00,0.0,1,Mississippi State,0.0,3.88,0.61,1.0,0.0,2014,Louisiana State,1.0,0.0,0.0,1.0,0.6799999999999999,0
2014,2014-09-20 16:00:00,0.0,0,Minnesota,0.0,1.797,0.45,0.667,0.0,2014,San Jose State,0.0,0.548,0.682,0.5,0.0,0
2014,2014-09-20 12:00:00,0.0,0,Michigan State,0.0,2.769,0.826,0.5,0.56,2014,Eastern Michigan,0.0,1.313,0.543,0.333,0.0,0
2014,2014-09-20 19:00:00,0.0,0,Memphis,0.0,1.638,0.734,0.5,0.0,2014,Middle Tennessee State,1.0,1.343,0.573,0.667,0.0,0
2014,2014-09-20 12:30:00,0.0,1,Maryland,0.0,1.934,0.863,0.667,0.0,2014,Syracuse,0.0,1.705,0.783,1.0,0.0,0
2014,2014-09-20 14:00:00,0.0,1,Marshall,0.0,2.18,0.781,1.0,0.0,2014,Akron,0.0,1.524,1.648,0.5,0.0,0
2014,2014-09-20 15:30:00,0.0,1,Louisville,0.5,2.649,0.924,0.667,0.0,2014,Florida International,0.0,0.736,1.02,0.333,0.0,0
2014,2014-09-20 15:30:00,0.0,0,Kansas,0.0,1.048,0.552,0.5,0.0,2014,Central Michigan,0.0,1.023,0.679,0.667,0.0,0
2014,2014-09-20 12:00:00,0.0,1,Iowa,0.0,3.878,1.101,0.667,0.0,2014,Pittsburgh,1.0,0.0,0.0,1.0,0.0,0
2014,2014-09-20 16:00:00,0.0,1,Indiana,0.0,2.597,0.557,0.5,0.0,2014,Missouri,0.0,1.959,0.645,1.0,0.28,0
2014,2014-09-20 20:00:00,0.0,0,Houston,0.0,0.939,1.697,0.333,0.0,2014,Nevada-Las Vegas,0.0,1.105,0.928,0.333,0.0,0
2014,2014-09-27 16:00:00,1.0,1,Texas,0.0,0.776,0.943,0.333,0.0,2014,Kansas,0.0,1.178,0.664,0.667,0.0,0
2014,2014-09-27 15:30:00,1.0,0,Texas A&M,1.0,1.802,1.303,1.0,0.76,2014,Arkansas,0.0,1.666,0.44,0.75,0.0,0
2014,2014-09-27 12:00:00,0.0,1,Texas Christian,0.0,1.21,1.315,1.0,0.0,2014,Southern Methodist,0.0,0.0,0.0,0.0,0.0,0
2014,2014-10-11 15:30:00,1.0,0,Clemson,0.667,1.635,0.776,0.6,0.0,2014,Louisville,0.75,3.093,0.797,0.833,0.0,0
2014,2014-10-11 17:00:00,1.0,1,Central Michigan,0.5,1.263,0.711,0.5,0.0,2014,Northern Illinois,1.0,2.297,0.511,0.8,0.0,0
2014,2014-10-11 14:00:00,1.0,1,Bowling Green State,1.0,1.482,1.217,0.667,0.0,2014,Ohio,0.5,1.828,0.767,0.5,0.0,0
2014,2014-10-11 15:30:00,1.0,1,Boston College,0.0,1.741,0.405,0.6,0.0,2014,North Carolina State,0.0,1.317,0.828,0.667,0.0,0
2014,2014-10-11 15:30:00,1.0,0,Baylor,1.0,1.62,0.742,1.0,0.8,2014,Texas Christian,1.0,1.616,1.187,1.0,0.64,0
2014,2014-10-11 14:00:00,1.0,1,Arkansas State,1.0,2.066,0.75,0.6,0.0,2014,Georgia State,0.0,1.313,1.103,0.2,0.0,0
2014,2014-10-11 15:30:00,0.0,0,Alabama-Birmingham,1.0,0.0,0.0,0.6,0.0,2014,North Texas,0.0,1.566,0.575,0.4,0.0,0
2014,2014-10-11 18:00:00,1.0,1,Alabama,1.0,3.099,0.712,0.8,0.72,2014,Arkansas,0.0,1.892,0.467,0.6,0.0,0
2014,2014-10-11 14:00:00,1.0,0,Akron,1.0,1.359,1.569,0.6,0.0,2014,Miami (OH),0.0,1.506,1.304,0.167,0.0,0
2014,2014-10-10 21:00:00,1.0,0,Stanford,1.0,0.859,0.867,0.6,0.0,2014,Washington State,0.333,1.773,3.041,0.333,0.0,0
2014,2014-10-10 21:30:00,1.0,1,San Diego State,0.5,1.919,0.798,0.4,0.0,2014,New Mexico,0.0,0.913,0.214,0.4,0.0,0
2014,2014-10-10 22:00:00,1.0,0,Nevada-Las Vegas,0.0,0.864,0.927,0.167,0.0,2014,Fresno State,1.0,1.101,1.0,0.5,0.0,0
2014,2014-10-09 19:30:00,0.0,0,Central Florida,1.0,0.0,0.0,0.5,0.0,2014,Brigham Young,0.0,2.898,0.7,0.8,0.0,0
2014,2014-10-04 16:00:00,1.0,0,West Virginia,0.0,1.037,1.023,0.5,0.0,2014,Kansas,0.0,1.309,0.648,0.5,0.0,0
2014,2014-10-04 12:30:00,1.0,1,Virginia Tech,0.0,2.083,0.99,0.6,0.0,2014,North Carolina,0.0,1.858,1.12,0.5,0.0,0
2014,2014-10-04 19:30:00,0.0,0,Virginia,1.0,2.866,0.904,0.6,0.0,2014,Pittsburgh,1.0,0.0,0.0,0.6,0.0,0
2014,2014-10-04 22:30:00,1.0,1,Utah,0.0,2.437,0.712,0.75,0.0,2014,UCLA,1.0,2.29,0.833,1.0,0.6799999999999999,0
2014,2014-10-04 19:00:00,1.0,1,Toledo,1.0,2.478,0.886,0.6,0.0,2014,Western Michigan,0.0,1.396,0.766,0.5,0.0,0
2014,2014-10-04 19:00:00,1.0,0,Texas State,0.0,0.785,0.718,0.5,0.0,2014,Idaho,0.0,1.174,1.438,0.0,0.0,0
2014,2014-10-04 15:30:00,1.0,0,Texas Christian,0.0,1.385,1.252,1.0,0.0,2014,Oklahoma,1.0,2.524,0.894,1.0,0.84,0
2014,2014-10-04 18:00:00,1.0,1,South Alabama,0.5,1.064,0.885,0.5,0.0,2014,Appalachian State,0.0,1.163,0.88,0.25,0.0,0
2014,2014-10-04 20:00:00,1.0,0,San Jose State,0.0,0.317,0.89,0.25,0.0,2014,Nevada-Las Vegas,0.0,0.847,0.931,0.2,0.0,0
2014,2014-10-04 19:00:00,1.0,0,Rutgers,0.0,2.135,0.553,0.8,0.0,2014,Michigan,0.0,1.689,0.761,0.4,0.0,0
2014,2014-10-11 22:30:00,1.0,1,Colorado State,0.0,1.229,1.167,0.8,0.0,2014,Nevada,0.5,1.852,0.747,0.6,0.0,0
2014,2014-10-04 19:00:00,0.0,0,Rice,0.5,2.236,0.599,0.25,0.0,2014,Hawaii,0.0,1.984,1.041,0.25,0.0,0
2014,2014-10-11 12:30:00,1.0,1,Duke,0.0,0.972,1.048,0.8,0.0,2014,Georgia Tech,1.0,1.214,0.279,1.0,0.12,0
2014,2014-10-11 13:00:00,1.0,0,Eastern Michigan,0.0,1.157,0.691,0.2,0.0,2014,Buffalo,0.5,1.559,0.813,0.5,0.0,0
2014,2014-10-11 15:30:00,1.0,1,Oregon,0.5,2.147,0.753,0.8,0.52,2014,UCLA,0.5,1.715,0.741,0.8,0.28,0
2014,2014-10-11 16:00:00,1.0,1,Oklahoma State,1.0,2.293,0.786,0.8,0.36,2014,Kansas,0.0,1.274,0.676,0.4,0.0,0
2014,2014-10-11 12:00:00,1.0,0,Oklahoma,0.5,2.409,0.886,0.8,0.56,2014,Texas,0.5,0.676,0.923,0.4,0.0,0
2014,2014-10-11 15:30:00,0.0,0,Notre Dame,0.0,2.299,0.967,1.0,0.76,2014,North Carolina,0.0,1.716,1.145,0.4,0.0,0
2014,2014-10-11 15:30:00,0.0,0,Navy,0.0,1.161,0.216,0.333,0.0,2014,Virginia Military Institute,0.0,0.0,0.0,0.0,0.0,0
2014,2014-10-11 15:39:00,1.0,0,Mississippi State,1.0,3.342,0.571,1.0,0.88,2014,Auburn,1.0,2.06,0.512,1.0,0.92,0
2014,2014-10-11 21:15:00,0.0,1,Mississippi,0.0,0.0,0.0,1.0,0.88,2014,Texas A&M,0.667,1.294,1.447,0.833,0.44,0
2014,2014-10-11 12:00:00,1.0,0,Minnesota,1.0,1.801,0.376,0.8,0.0,2014,Northwestern,1.0,1.495,0.899,0.6,0.0,0
2014,2014-10-11 15:30:00,1.0,1,Michigan State,1.0,3.125,0.574,0.8,0.6799999999999999,2014,Purdue,0.5,1.937,0.94,0.5,0.0,0
2014,2014-10-11 19:00:00,1.0,0,Michigan,0.0,2.15,0.74,0.333,0.0,2014,Penn State,0.5,3.797,1.272,0.8,0.0,0
2014,2014-10-11 12:00:00,0.0,0,Miami (FL),0.333,0.881,1.045,0.5,0.0,2014,Cincinnati,0.0,1.201,1.481,0.5,0.0,0
2014,2014-10-11 14:00:00,0.0,1,Massachusetts,0.0,1.432,1.364,0.0,0.0,2014,Kent State,0.0,1.14,1.315,0.0,0.0,0
2014,2014-10-11 12:00:00,1.0,0,Marshall,1.0,1.674,0.764,1.0,0.0,2014,Middle Tennessee State,1.0,1.811,0.636,0.667,0.0,0
2014,2014-10-11 19:30:00,0.0,1,Louisiana State,1.0,0.0,0.0,0.667,0.0,2014,Florida,0.667,2.592,0.89,0.75,0.0,0
2014,2014-10-11 15:30:00,0.0,1,Liberty,0.0,0.0,0.0,0.0,0.0,2014,Appalachian State,0.0,1.249,0.901,0.2,0.0,0
2014,2014-10-11 12:00:00,0.0,0,Kentucky,0.667,1.159,0.849,0.8,0.0,2014,Louisiana-Monroe,0.667,1.605,1.312,0.6,0.0,0
2014,2014-10-11 15:30:00,0.0,0,Iowa State,0.0,1.178,1.141,0.2,0.0,2014,Toledo,1.0,2.816,0.865,0.667,0.0,0
2014,2014-10-11 12:00:00,1.0,0,Iowa,1.0,2.33,0.897,0.8,0.0,2014,Indiana,0.0,2.224,0.64,0.6,0.0,0
2014,2014-10-11 19:00:00,1.0,1,Houston,0.0,0.901,1.248,0.4,0.0,2014,Memphis,1.0,1.872,0.653,0.6,0.0,0
2014,2014-10-11 23:59:00,1.0,0,Hawaii,0.0,1.93,0.949,0.2,0.0,2014,Wyoming,1.0,1.052,0.762,0.6,0.0,0
2014,2014-10-11 18:00:00,1.0,0,Georgia Southern,1.0,1.13,0.318,0.667,0.0,2014,Idaho,0.0,0.877,1.304,0.0,0.0,0
2014,2014-10-11 12:00:00,1.0,1,Georgia,0.667,1.991,0.568,0.8,0.48,2014,Missouri,1.0,1.635,0.833,0.8,0.07999999999999996,0
2014,2014-10-11 12:00:00,1.0,1,Florida State,1.0,1.439,1.195,1.0,0.96,2014,Syracuse,0.0,1.837,0.884,0.4,0.0,0
2014,2014-10-11 19:00:00,1.0,1,East Carolina,0.0,2.445,1.51,0.8,0.24,2014,South Florida,1.0,1.273,0.716,0.4,0.0,0
2014,2014-10-04 12:00:00,1.0,1,Purdue,0.0,1.516,1.069,0.4,0.0,2014,Illinois,0.0,1.041,1.455,0.6,0.0,0
2014,2014-10-04 16:00:00,1.0,1,Oregon State,0.0,1.268,1.138,0.75,0.0,2014,Colorado,0.0,1.42,1.254,0.4,0.0,0
2014,2014-10-04 12:00:00,1.0,0,Oklahoma State,1.0,2.469,0.738,0.75,0.16000000000000006,2014,Iowa State,0.0,1.046,1.13,0.25,0.0,0
2014,2014-10-04 22:30:00,1.0,1,Boise State,0.5,0.0,1.01,0.6,0.0,2014,Nevada,1.0,1.968,0.636,0.75,0.0,0
2014,2014-10-04 15:30:00,1.0,1,Baylor,1.0,2.131,0.862,1.0,0.72,2014,Texas,1.0,0.784,0.943,0.5,0.0,0
2014,2014-10-04 19:00:00,0.0,0,Auburn,1.0,2.452,0.513,1.0,0.8,2014,Louisiana State,1.0,0.0,0.0,0.8,0.4,0
2014,2014-10-04 12:00:00,0.0,0,Army,0.0,1.449,0.171,0.25,0.0,2014,Ball State,0.0,1.678,0.804,0.25,0.0,0
2014,2014-10-04 19:00:00,1.0,0,Arkansas State,0.0,1.833,0.762,0.5,0.0,2014,Louisiana-Monroe,1.0,2.034,1.205,0.75,0.0,0
2014,2014-10-04 19:30:00,0.0,1,Arizona State,0.5,1.169,0.939,0.75,0.0,2014,Southern California,0.0,0.0,0.0,0.75,0.36,0
2014,2014-10-04 19:00:00,0.0,1,Alabama-Birmingham,1.0,0.0,0.0,0.5,0.0,2014,Western Kentucky,0.0,1.096,1.6,0.5,0.0,0
2014,2014-10-04 14:00:00,1.0,0,Akron,0.0,1.273,1.558,0.5,0.0,2014,Eastern Michigan,0.0,1.027,0.662,0.25,0.0,0
