,School,HTTP,From,To,Yrs,Overall_G,Overall_W,Overall_L,Overall_T,Overall_Pct,Bowls_G,Bowls_W,Bowls_L,Bowls_T,Bowls_Pct,SRS,SOS,AP,CC,Notes
64,Del Monte Pre-Flight,/cfb/schools/del-monte-pre-flight/,1943,1943,1,8,7,1,0,.875,0,0,0,0,,12.87,-6.25,1,0,
65,Denver,/cfb/schools/denver/,1902,1960,59,518,259,228,33,.530,2,0,2,0,.000,-4.12,-4.91,0,6,
66,Detroit Mercy,/cfb/schools/detroit-mercy/,1927,1964,36,338,196,132,10,.595,0,0,0,0,,0.21,-4.24,0,3,
67,Dickinson,/cfb/schools/dickinson/,1889,1910,18,173,84,79,10,.514,0,0,0,0,,-3.35,-3.71,0,0,
68,Drake,/cfb/schools/drake/,1900,1985,73,663,316,326,24,.492,3,2,1,0,.667,-5.64,-5.74,0,7,
69,Drury,/cfb/schools/drury/,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-13.17,-3.97,0,0,
70,Duke,/cfb/schools/duke/,1922,2018,97,1023,489,513,28,.488,13,5,8,0,.333,2.84,2.82,17,17,
71,Duquesne,/cfb/schools/duquesne/,1933,1950,14,131,80,49,3,.617,1,1,0,0,1.000,1.04,-2.38,3,0,
72,East Carolina,/cfb/schools/east-carolina/,1965,2018,54,609,320,294,3,.521,16,7,9,0,.438,-2.56,-2.82,2,6,record adjusted to 321-293-3 by NCAA
73,East Tennessee State,/cfb/schools/east-tennessee-state/,1979,1981,3,33,15,18,0,.455,0,0,0,0,,-9.46,-8.43,0,0,
74,Eastern Michigan,/cfb/schools/eastern-michigan/,1975,2018,44,496,152,337,7,.314,2,1,1,0,.500,-14.98,-7.66,0,1,
75,Erskine,/cfb/schools/erskine/,1919,1936,5,39,12,27,0,.308,0,0,0,0,,-13.04,-5.98,0,0,
76,Florida,/cfb/schools/florida/,1904,2018,107,1119,695,414,37,.623,43,22,21,0,.512,8.53,4.22,31,9,
77,Florida A&M,/cfb/schools/florida-am/,2004,2004,1,11,3,8,0,.273,0,0,0,0,,-21.65,-12.38,0,0,
78,Florida Atlantic,/cfb/schools/florida-atlantic/,2004,2018,15,180,75,107,0,.412,3,3,0,0,1.000,-8.83,-4.81,0,2,
79,Florida International,/cfb/schools/florida-international/,2004,2018,15,179,65,114,0,.363,3,1,2,0,.500,-11.19,-6.29,0,1,
80,Florida State,/cfb/schools/florida-state/,1954,2018,65,742,519,235,16,.684,46,28,16,2,.622,11.33,4.01,33,15,record adjusted to 508-234-16 by NCAA
81,Fordham,/cfb/schools/fordham/,1909,1954,25,211,126,70,17,.631,2,1,1,0,.500,3.60,-1.08,6,0,
82,Fort Benning,/cfb/schools/fort-benning/,1922,1922,1,10,5,5,0,.500,0,0,0,0,,-6.13,-4.03,0,0,
