,Season,Game,Date,Team,Loc,Opp,Result,Pass_cmp,Pass_att,Pass_pct,Pass_yds,Pass_TD,Rush_att,Rush_yds,Rush_avg,Rush_TD,TO_plays,TO_yds,TO_avg,FD_pass,FD_rush,FD_pen,FD_tot,Pen_num,Pen_yds,Turn_fum,Turn_int,Turn_tot
883,2018,1,2018-09-01,Navy,@,Hawaii,L (41-59),6,13,46.2,85,1,49,326,6.7,5,62,411,6.6,6,13,0,19,2,18,0,0,0
884,2018,2,2018-09-08,Navy,,Memphis,W (22-21),4,6,66.7,52,0,73,264,3.6,3,79,316,4.0,3,16,1,20,1,10,1,0,1
885,2018,3,2018-09-15,Navy,,Lehigh,W (51-21),6,14,42.9,145,0,62,484,7.8,6,76,629,8.3,4,21,1,26,8,63,1,1,2
886,2018,4,2018-09-22,Navy,@,Southern Methodist,L (30-31),1,4,25.0,25,1,78,349,4.5,3,82,374,4.6,1,22,0,23,2,25,3,0,3
887,2018,5,2018-10-06,Navy,@,Air Force,L (7-35),3,12,25.0,49,0,41,129,3.1,1,53,178,3.4,2,7,0,9,4,40,0,0,0
888,2018,6,2018-10-13,Navy,,Temple,L (17-24),3,11,27.3,14,0,53,270,5.1,2,64,284,4.4,1,14,3,18,6,40,1,0,1
889,2018,7,2018-10-20,Navy,,Houston,L (36-49),10,16,62.5,178,1,68,344,5.1,4,84,522,6.2,6,19,1,26,3,32,0,1,1
890,2018,8,2018-10-27,Navy,N,Notre Dame,L (22-44),4,12,33.3,52,0,48,292,6.1,3,60,344,5.7,2,11,1,14,4,16,1,1,2
891,2018,9,2018-11-03,Navy,@,Cincinnati,L (0-42),3,4,75.0,47,0,52,124,2.4,0,56,171,3.1,2,9,2,13,3,31,1,0,1
892,2018,10,2018-11-10,Navy,@,Central Florida,L (24-35),0,2,0.0,0,0,62,375,6.0,3,64,375,5.9,0,19,1,20,4,30,1,0,1
893,2018,11,2018-11-17,Navy,,Tulsa,W (37-29),1,2,50.0,15,0,61,395,6.5,5,63,410,6.5,1,18,2,21,4,45,1,0,1
894,2018,12,2018-11-24,Navy,@,Tulane,L (28-29),8,16,50.0,204,2,45,117,2.6,1,61,321,5.3,6,7,0,13,2,10,0,0,0
895,2018,,12 Games,Navy,,,,49,112,43.8,866,5,692,3469,5.0,36,804,4335,5.4,34,176,12,222,43,360,10,3,13
896,2018,1,2018-09-08,Nebraska,,Colorado,L (28-33),19,29,65.5,236,1,54,329,6.1,3,83,565,6.8,9,13,3,25,11,95,2,1,3
897,2018,2,2018-09-15,Nebraska,,Troy,L (19-24),19,27,70.4,177,2,48,187,3.9,0,75,364,4.9,7,12,3,22,10,77,1,2,3
898,2018,3,2018-09-22,Nebraska,@,Michigan,L (10-56),13,24,54.2,93,0,30,39,1.3,1,54,132,2.4,4,5,3,12,10,79,1,1,2
899,2018,4,2018-09-29,Nebraska,,Purdue,L (28-42),25,42,59.5,323,2,39,259,6.6,2,81,582,7.2,16,14,1,31,11,136,0,1,1
900,2018,5,2018-10-06,Nebraska,@,Wisconsin,L (24-41),26,44,59.1,407,2,24,111,4.6,1,68,518,7.6,17,7,2,26,10,100,1,0,1
901,2018,6,2018-10-13,Nebraska,@,Northwestern,L (31-34),25,35,71.4,251,1,47,231,4.9,3,82,482,5.9,9,15,0,24,9,89,1,2,3
902,2018,7,2018-10-20,Nebraska,,Minnesota,W (53-28),25,30,83.3,276,3,43,383,8.9,4,73,659,9.0,9,18,1,28,6,43,1,0,1
903,2018,8,2018-10-27,Nebraska,,Bethune-Cookman,W (45-9),17,31,54.8,242,2,33,226,6.8,3,64,468,7.3,11,12,0,23,5,35,0,2,2
