2015,2,"Sep 12, 2015",,Sat,Boston College,76,,Howard,0,,
2015,2,"Sep 12, 2015",,Sat,Bowling Green State,48,@,Maryland,27,,
2015,2,"Sep 12, 2015",,Sat,Brigham Young,35,,(20) Boise State,24,,
2015,2,"Sep 12, 2015",,Sat,California,35,,San Diego State,7,,
2015,2,"Sep 12, 2015",,Sat,Central Michigan,31,,Monmouth,10,,
2015,2,"Sep 12, 2015",,Sat,Charlotte,34,,Presbyterian,10,,
2015,2,"Sep 12, 2015",,Sat,(12) Clemson,41,,Appalachian State,10,,
2015,2,"Sep 12, 2015",,Sat,Colorado,48,,Massachusetts,14,,
2015,2,"Sep 12, 2015",,Sat,Connecticut,22,,Army,17,,
2015,2,"Sep 12, 2015",,Sat,Duke,55,,North Carolina Central,0,,
2015,2,"Sep 12, 2015",,Sat,Eastern Michigan,48,@,Wyoming,29,,
2015,2,"Sep 12, 2015",,Sat,Florida,31,,East Carolina,24,,
2015,2,"Sep 12, 2015",,Sat,(11) Florida State,34,,South Florida,14,,
2015,2,"Sep 12, 2015",,Sat,(10) Georgia,31,@,Vanderbilt,14,,
2015,2,"Sep 12, 2015",,Sat,Georgia Southern,43,,Western Michigan,17,,
2015,2,"Sep 12, 2015",,Sat,Georgia State,34,@,New Mexico State,32,,
2015,2,"Sep 12, 2015",,Sat,(15) Georgia Tech,65,,Tulane,10,,
2015,2,"Sep 12, 2015",,Sat,Houston,34,@,Louisville,31,,
2015,2,"Sep 12, 2015",,Sat,Illinois,44,,Western Illinois,0,,
2015,2,"Sep 12, 2015",,Sat,Indiana,36,,Florida International,22,,
2015,2,"Sep 12, 2015",,Sat,Iowa,31,@,Iowa State,17,,
2015,2,"Sep 12, 2015",,Sat,Kansas State,30,@,Texas-San Antonio,3,,
2015,2,"Sep 12, 2015",,Sat,Kent State,45,,Delaware State,13,,
2015,2,"Sep 12, 2015",,Sat,Kentucky,26,@,South Carolina,22,,
2015,2,"Sep 12, 2015",,Sat,Louisiana,44,,Northwestern State,17,,
2015,2,"Sep 12, 2015",,Sat,(14) Louisiana State,21,@,(25) Mississippi State,19,,
2015,2,"Sep 12, 2015",,Sat,Louisiana-Monroe,47,,Nicholls State,0,,
2015,2,"Sep 12, 2015",,Sat,Memphis,55,@,Kansas,23,,
2015,2,"Sep 12, 2015",,Sat,Michigan,35,,Oregon State,7,,
2015,2,"Sep 12, 2015",,Sat,(5) Michigan State,31,,(7) Oregon,28,,
2015,2,"Sep 12, 2015",,Sat,Minnesota,23,@,Colorado State,20,,
2015,2,"Sep 12, 2015",,Sat,(17) Mississippi,73,,Fresno State,21,,
2015,2,"Sep 12, 2015",,Sat,(21) Missouri,27,@,Arkansas State,20,,
2015,2,"Sep 12, 2015",,Sat,Nebraska,48,,South Alabama,9,,
2015,2,"Sep 12, 2015",,Sat,North Carolina,53,,North Carolina A&T,14,,
2015,2,"Sep 12, 2015",,Sat,North Carolina State,35,,Eastern Kentucky,0,,
2015,2,"Sep 12, 2015",,Sat,Northern Illinois,57,,Murray State,26,,
2015,2,"Sep 12, 2015",,Sat,Northwestern,41,,Eastern Illinois,0,,
2015,2,"Sep 12, 2015",,Sat,(9) Notre Dame,34,@,Virginia,27,,
2015,2,"Sep 12, 2015",,Sat,Ohio,21,,Marshall,10,,
2015,2,"Sep 12, 2015",,Sat,(1) Ohio State,38,,Hawaii,0,,
2015,2,"Sep 12, 2015",,Sat,(19) Oklahoma,31,@,(23) Tennessee,24,,
2015,2,"Sep 12, 2015",,Sat,Oklahoma State,32,,Central Arkansas,8,,
2015,2,"Sep 12, 2015",,Sat,Old Dominion,24,,Norfolk State,10,,
2015,2,"Sep 12, 2015",,Sat,Penn State,27,,Buffalo,14,,
2015,2,"Sep 12, 2015",,Sat,Pittsburgh,24,@,Akron,7,,
2015,2,"Sep 12, 2015",,Sat,Purdue,38,,Indiana State,14,,
2015,2,"Sep 12, 2015",,Sat,(8) Southern California,59,,Idaho,9,,
2015,2,"Sep 12, 2015",,Sat,Southern Methodist,31,,North Texas,13,,
2015,2,"Sep 12, 2015",,Sat,Southern Mississippi,52,,Austin Peay,6,,
2015,2,"Sep 12, 2015",,Sat,Stanford,31,,Central Florida,7,,
2015,2,"Sep 12, 2015",,Sat,Syracuse,30,,Wake Forest,17,,
2015,2,"Sep 12, 2015",,Sat,Temple,34,@,Cincinnati,26,,
2015,2,"Sep 12, 2015",,Sat,Texas,42,,Rice,28,,
2015,2,"Sep 12, 2015",,Sat,(16) Texas A&M,56,,Ball State,23,,
2015,2,"Sep 12, 2015",,Sat,(3) Texas Christian,70,,Stephen F. Austin,7,,
2015,2,"Sep 12, 2015",,Sat,Texas State,63,,Prairie View A&M,24,,
2015,2,"Sep 12, 2015",,Sat,Texas Tech,69,,Texas-El Paso,20,,
2015,2,"Sep 12, 2015",,Sat,Toledo,16,,(18) Arkansas,12,,War Memorial Stadium - Little Rock Arkansas
2015,2,"Sep 12, 2015",,Sat,Troy,44,,Charleston Southern,16,,
2015,2,"Sep 12, 2015",,Sat,Tulsa,40,@,New Mexico,21,,
2015,2,"Sep 12, 2015",,Sat,(13) UCLA,37,@,Nevada-Las Vegas,3,,
2015,2,"Sep 12, 2015",,Sat,Virginia Tech,42,,Furman,3,,
2015,2,"Sep 12, 2015",,Sat,Washington,49,,Sacramento State,0,,
2015,2,"Sep 12, 2015",,Sat,Washington State,37,@,Rutgers,34,,
2015,2,"Sep 12, 2015",,Sat,West Virginia,41,,Liberty,17,,
2015,2,"Sep 12, 2015",,Sat,Wisconsin,58,,Miami (OH),0,,
2015,3,"Sep 17, 2015",,Thu,(11) Clemson,20,@,Louisville,17,,
2015,3,"Sep 18, 2015",,Fri,Arizona State,34,,New Mexico,10,,
2015,3,"Sep 18, 2015",,Fri,Boise State,52,,Idaho State,0,,
2015,3,"Sep 18, 2015",,Fri,(9) Florida State,14,@,Boston College,0,,
2015,3,"Sep 19, 2015",,Sat,Akron,52,,Savannah State,9,,
2015,3,"Sep 19, 2015",,Sat,(20) Arizona,77,,Northern Arizona,13,,
2015,3,"Sep 19, 2015",,Sat,Arkansas State,70,,Missouri State,7,,
2015,3,"Sep 19, 2015",,Sat,Ball State,28,@,Eastern Michigan,17,,
2015,3,"Sep 19, 2015",,Sat,Buffalo,33,@,Florida Atlantic,15,,
2015,3,"Sep 19, 2015",,Sat,California,45,@,Texas,44,,
